Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter password""), ""Test12#$"", 0)",,,,2019-10-11 15:52:42,2019-10-11 15:52:44,1.788s,PASSED
"tap(findTestObject(""LoginPage/android.widget.Button0 - SIGN IN""), 0)",,,,2019-10-11 15:52:44,2019-10-11 15:52:47,3.803s,PASSED
"verifyElementVisible(findTestObject(""LoginPage/android.widget.TextView0 - Invalid email or password. Please try again""), 0)",,,,2019-10-11 15:52:47,2019-10-11 15:52:49,1.418s,PASSED
"verifyElementVisible(findTestObject(""LoginPage/android.widget.TextView0 - Invalid email or password. Please try again (1)""), 0)",,,,2019-10-11 15:52:49,2019-10-11 15:52:49,0.166s,PASSED
closeApplication(),,,,2019-10-11 15:52:49,2019-10-11 15:52:51,1.847s,PASSED
,,,,,,,
Test Cases/Login/P0_Verify login with a user having no plates assigned yet,,,P0,2019-10-11 15:52:51,2019-10-11 15:53:27,35.890s,PASSED
"startApplication(""/Users/ayush/Desktop/APKs/Rplate26sept120.apk"", true)",,,,2019-10-11 15:52:51,2019-10-11 15:53:07,16.199s,PASSED
"com.reviver.utils.CommonUtils.selectEnv_Mobile(selectENV, 5)",,,,2019-10-11 15:53:07,2019-10-11 15:53:09,1.430s,PASSED
"waitForElementPresent(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 5)",,,,2019-10-11 15:53:09,2019-10-11 15:53:11,2.314s,PASSED
"tap(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 0)",,,,2019-10-11 15:53:11,2019-10-11 15:53:13,2.099s,PASSED
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter email""), findTestData(DataFile).getValue(1, 2), 0)",,,,2019-10-11 15:53:13,2019-10-11 15:53:15,1.607s,PASSED
"setText(findTestObject(""LoginPage/android.widget.EditText0 - Enter password""), findTestData(DataFile).getValue(2, 2), 0)",,,,2019-10-11 15:53:15,2019-10-11 15:53:17,2.092s,PASSED
"tap(findTestObject(""LoginPage/android.widget.Button0 - SIGN IN""), 0)",,,,2019-10-11 15:53:17,2019-10-11 15:53:18,1.356s,PASSED
"waitForElementPresent(findTestObject(""Homepage/Burger Icon""), 10)",,,,2019-10-11 15:53:18,2019-10-11 15:53:23,4.725s,PASSED
"verifyElementVisible(findTestObject(""Homepage/No plate image""), 0)",,,,2019-10-11 15:53:23,2019-10-11 15:53:23,0.164s,PASSED
"verifyElementAttributeValue(findTestObject(""Homepage/no plate text 3""), ""text"", ""Note: This may take 1–3 business days from when your order is processed."", 0)",,,,2019-10-11 15:53:23,2019-10-11 15:53:23,0.142s,PASSED
"verifyElementAttributeValue(findTestObject(""Homepage/no plate text1""), ""text"", ""It looks like your plates haven’t been added to your account."", 0)",,,,2019-10-11 15:53:23,2019-10-11 15:53:23,0.171s,PASSED
"verifyElementAttributeValue(findTestObject(""Homepage/no plate text2""), ""text"", ""You will be notified when your plate has been added to your account."", 0)",,,,2019-10-11 15:53:23,2019-10-11 15:53:24,0.157s,PASSED
"verifyElementVisible(findTestObject(""Homepage/No Plates Found text""), 0)",,,,2019-10-11 15:53:24,2019-10-11 15:53:24,0.126s,PASSED
"tap(findTestObject(""Homepage/Burger Icon""), 0)",,,,2019-10-11 15:53:24,2019-10-11 15:53:25,1.247s,PASSED
"verifyElementAttributeValue(findTestObject(""Burger Menu/Notifications""), ""checkable"", ""true"", 0)",,,,2019-10-11 15:53:25,2019-10-11 15:53:25,0.175s,PASSED
closeApplication(),,,,2019-10-11 15:53:25,2019-10-11 15:53:27,1.702s,PASSED
,,,,,,,
Test Cases/Forgot Password/P0_Verify User clicks on SignIn after forgot password flow,,"1) Tap on Rconnect App Icon on Android
2) Tap on Forgot Password?
3) Enter Valid Email Address
4) Click on Next
5) Tap on Sign In

E- User should navigate on Rplate Home Screen Page having sigin and Singup tab.",P0,2019-10-11 15:53:27,2019-10-11 15:54:08,41.227s,PASSED
"startApplication(""/Users/ayush/Desktop/APKs/Rplate26sept120.apk"", true)",,,,2019-10-11 15:53:27,2019-10-11 15:53:47,20.014s,PASSED
"com.reviver.utils.CommonUtils.selectEnv_Mobile(selectENV, 5)",,,,2019-10-11 15:53:47,2019-10-11 15:53:49,1.664s,PASSED
"waitForElementPresent(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 5)",,,,2019-10-11 15:53:49,2019-10-11 15:53:51,2.343s,PASSED
"tap(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 0)",,,,2019-10-11 15:53:51,2019-10-11 15:53:53,2.281s,PASSED
hideKeyboard(),,,,2019-10-11 15:53:53,2019-10-11 15:53:54,0.713s,PASSED
"verifyElementVisible(findTestObject(""LoginPage/FORGOT PASSWORD link""), 0)",,,,2019-10-11 15:53:54,2019-10-11 15:53:54,0.464s,PASSED
"tap(findTestObject(""LoginPage/FORGOT PASSWORD link""), 0)",,,,2019-10-11 15:53:54,2019-10-11 15:53:55,1.029s,PASSED
"waitForElementPresent(findTestObject(""Forgot password Page/Enter email texxtbox""), 5)",,,,2019-10-11 15:53:55,2019-10-11 15:53:56,0.350s,PASSED
"setText(findTestObject(""Forgot password Page/Enter email texxtbox""), ""ayush"", 0)",,,,2019-10-11 15:53:56,2019-10-11 15:53:57,1.468s,PASSED
"verifyElementAttributeValue(findTestObject(""Forgot password Page/field error""), ""text"", ""Please enter a valid email."", 0)",,,,2019-10-11 15:53:57,2019-10-11 15:53:58,0.531s,PASSED
"setText(findTestObject(""Forgot password Page/Enter email texxtbox""), ""ayush.kumar+qa99@revivertest.com"", 0)",,,,2019-10-11 15:53:58,2019-10-11 15:53:59,1.280s,PASSED
"tap(findTestObject(""Forgot password Page/SEND button""), 0)",,,,2019-10-11 15:53:59,2019-10-11 15:54:01,2.154s,PASSED
"waitForElementPresent(findTestObject(""Forgot password Page/Alert title - Email Sent Successfully""), 0)",,,,2019-10-11 15:54:01,2019-10-11 15:54:02,0.994s,PASSED
"verifyElementAttributeValue(findTestObject(""Forgot password Page/ALert text""), ""text"", ""Check your Inbox and click on the password reset link."", 0)",,,,2019-10-11 15:54:02,2019-10-11 15:54:02,0.138s,PASSED
"tap(findTestObject(""Forgot password Page/Alert button - OK""), 0)",,,,2019-10-11 15:54:02,2019-10-11 15:54:04,1.497s,PASSED
"waitForElementPresent(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 10)",,,,2019-10-11 15:54:04,2019-10-11 15:54:06,1.841s,PASSED
"tap(findTestObject(""StartPage/android.widget.TextView0 - SIGN IN""), 0)",,,,2019-10-11 15:54:06,2019-10-11 15:54:08,2.125s,PASSED
"verifyElementVisible(findTestObject(""LoginPage/android.widget.TextView0 - Sign In""), 0)",,,,2019-10-11 15:54:08,2019-10-11 15:54:08,0.164s,PASSED
